review,rating,date,bank,source,sentiment_label,sentiment_score,theme
IT'S NOT WORK ON HUAWEI DEVICES,4,2026-05-15,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
wow,4,2026-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
nice app,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
formative,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best app for financial activities 🙌,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
yoroo namaste 🙏 ♥️ ❤️ 💖 💖,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.9517,General Feedback
incredible,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best app for financial sector,5,2026-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
it's a good application,5,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
thank you cbe,5,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
is good,5,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Good application,2,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",5,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.5927,Transaction Issues
Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,1,2026-05-13,Commercial Bank of Ethiopia,Google Play,negative,-0.9371,General Feedback
very nice 100%,5,2026-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.4754,User Experience
good,5,2026-05-12,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Good to use,5,2026-05-12,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
cbe,1,2026-05-12,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Cbe,4,2026-05-11,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best and secured,5,2026-05-11,Commercial Bank of Ethiopia,Google Play,positive,0.7845,General Feedback
best,5,2026-05-11,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10,Commercial Bank of Ethiopia,Google Play,negative,-0.296,Transaction Issues
Gal✅😶‍🌫️,1,2026-05-10,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
posetive,5,2026-05-10,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
this app is so functional for airtime for wallet and,5,2026-05-09,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
very amazing app,5,2026-05-09,Commercial Bank of Ethiopia,Google Play,positive,0.624,General Feedback
excellent service,5,2026-05-09,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
There is a a problem when updating the app,3,2026-05-09,Commercial Bank of Ethiopia,Google Play,negative,-0.4019,General Feedback
smart app,4,2026-05-08,Commercial Bank of Ethiopia,Google Play,positive,0.4019,General Feedback
"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
CBE it's my excellent choice,5,2026-05-08,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
fast and time saving...,5,2026-05-08,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
yesisgood,5,2026-05-07,Commercial Bank of Ethiopia,Google Play,neutral,0.0,User Experience
so good,5,2026-05-07,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07,Commercial Bank of Ethiopia,Google Play,negative,-0.891,Transaction Issues
iam happy excellent app,5,2026-05-07,Commercial Bank of Ethiopia,Google Play,positive,0.8126,General Feedback
is not work properly !!,3,2026-05-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
When I update this app there isn't working,1,2026-05-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
thanks you so much 👍 okay I am going to be like in,5,2026-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.743,General Feedback
Best ever,1,2026-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05,Commercial Bank of Ethiopia,Google Play,negative,-0.3612,General Feedback
goood g,5,2026-05-05,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
I like so much,5,2026-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
This app has never been efficient at all,1,2026-05-04,Commercial Bank of Ethiopia,Google Play,negative,-0.3252,General Feedback
nice app.,5,2026-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.3045,Feature Request
Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.836,User Experience
i like it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
vary good app,5,2026-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
nice,5,2026-05-03,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
easy to use but hard to find easily,4,2026-05-03,Commercial Bank of Ethiopia,Google Play,positive,0.5346,User Experience
fixed problem,4,2026-05-03,Commercial Bank of Ethiopia,Google Play,negative,-0.4019,General Feedback
በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,5,2026-05-03,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best app,5,2026-05-03,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
Good Application,5,2026-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Good app,1,2026-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,4,2026-05-02,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
why it alaways asked me to update every second when I log in.,1,2026-05-01,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
pls update my cbe mobile banking,5,2026-05-01,Commercial Bank of Ethiopia,Google Play,positive,0.0772,Feature Request
"Easy, secure and user friend",5,2026-05-01,Commercial Bank of Ethiopia,Google Play,positive,0.8176,User Experience
hiote tegayede,5,2026-05-01,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
misraqe,1,2026-04-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
excellent app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
usefull app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
nice bank,4,2026-04-30,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
good 👍,5,2026-04-30,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
it's no functional problem,5,2026-04-30,Commercial Bank of Ethiopia,Google Play,neutral,0.015,General Feedback
Tamam Yunus Guddata,5,2026-04-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
It's not working after the update it doesn't open at all,1,2026-04-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
CBE not compare to others,5,2026-04-29,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
nice app thanks,5,2026-04-29,Commercial Bank of Ethiopia,Google Play,positive,0.6908,User Experience
Great,5,2026-04-29,Commercial Bank of Ethiopia,Google Play,positive,0.6249,User Experience
good service,5,2026-04-29,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
"It is so good,and easy to use.",5,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.4902,User Experience
great app,5,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.6249,User Experience
update is not downgrade. its literally not working,1,2026-04-28,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.6486,Feature Request
please use the cute ui as a professional developer,3,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.6486,Feature Request
Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.,4,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.489,Transaction Issues
Amazing,5,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
it's better than before,4,2026-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.4404,General Feedback
worst apk for a big bank,1,2026-04-28,Commercial Bank of Ethiopia,Google Play,negative,-0.6249,General Feedback
doesn't work properly with safaricom network.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",1,2026-04-28,Commercial Bank of Ethiopia,Google Play,negative,-0.4939,Transaction Issues
I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,3,2026-04-28,Commercial Bank of Ethiopia,Google Play,neutral,0.0,App Performance
go ahead,5,2026-04-28,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
cbe mobile app best app,5,2026-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
"easy for use,and good privacy",4,2026-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.7003,User Experience
amazing,5,2026-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
i really judged this app. 99% were profit exclusive for others only with organization benefit.,1,2026-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.7506,General Feedback
unable to use it is not performed well,1,2026-04-27,Commercial Bank of Ethiopia,Google Play,negative,-0.2057,General Feedback
ወከቀቀ,5,2026-04-26,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Nice,5,2026-04-26,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️,5,2026-04-26,Commercial Bank of Ethiopia,Google Play,positive,0.9447,User Experience
Samsung A-5360 is not my device and i did not opened by this,5,2026-04-26,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
notwork totransferto other,1,2026-04-26,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Transaction Issues
የCommercial Bank of Ethiopia ሞባይል ባንኪንግ አገልግሎት በአጠቃላይ ጠቃሚ ነው፣ ግን አንድ ችግር አጋጥሞኛል። የሂሳብ ቁጥር በምናስገባበት ሳጥን ላይ “Mr” ወይም “Mrs” ከሚለው ቀጥሎ ያለውን ስም ለማስገባት ስፔስ (space) መጠቀም አይቻልም። ይህ ተጠቃሚዎችን ስም ትክክለኛ ለማስገባት እንዲቸገሩ ያደርጋል። እባክዎ በዚህ ክፍል ስፔስ መጠቀም እንዲቻል ወይም የስም መሙያ ስርዓቱን እንዲሻሻል ቢያደርጉ በጣም ጥሩ ይሆናል።,4,2026-04-26,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
🫶👍🙏,5,2026-04-26,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.7178,Transaction Issues
good app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
i am so happy,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.6948,General Feedback
The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.,1,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.6124,App Performance
good job,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
I'm from Ethiopia and proud of CBE service app.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.4767,General Feedback
I am successful with app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
everything is boaring the previous one is good,1,2026-04-25,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
good app but it needs more languages do it with more than four languages,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.2382,User Experience
good work,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
wow app.The developers make improvements every time.,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.7269,General Feedback
nice and perfect,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.7579,User Experience
best experience,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
the best,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
What's wrong after i update the app unable to open,1,2026-04-24,Commercial Bank of Ethiopia,Google Play,negative,-0.4767,Feature Request
👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏,1,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.5106,Transaction Issues
not sure at the moment,3,2026-04-24,Commercial Bank of Ethiopia,Google Play,negative,-0.2411,General Feedback
it's the best app i have every seen it is fast and securty,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
Useful apps,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.4404,General Feedback
easy to use,5,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
waw,4,2026-04-24,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options.",2,2026-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.6597,App Performance
Very good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
አዲሱ ገጽታው በጣም ያስጠላል። ለአይን ይከብዳል። ወደነበረበት ብትመልሱት።,1,2026-04-23,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
I like it but sometimes there is a system error,4,2026-04-23,Commercial Bank of Ethiopia,Google Play,negative,-0.4215,App Performance
"the app keeps asking for update, even after being updated",3,2026-04-23,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team",1,2026-04-23,Commercial Bank of Ethiopia,Google Play,negative,-0.1174,Transaction Issues
like,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
Good !,3,2026-04-23,Commercial Bank of Ethiopia,Google Play,positive,0.4926,User Experience
very good cbe app,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
tel birr,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
halaba kuleto,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best app ever,5,2026-04-23,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
it's good app for ease of access mobile banking transaction and use our time properly!,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.69,Transaction Issues
"pls make an option fingerprint Biometric payment only, it's fast and secure to pay",4,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.3182,Transaction Issues
በጣም ቀላልና ፈጣን ለመጠቀም ወድጀዋለሁ,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
I love this up to much eollahi,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.6369,User Experience
I hope this bank have excellent Mobile app but still not easy and not working in holidays why,4,2026-04-22,Commercial Bank of Ethiopia,Google Play,negative,-0.3788,User Experience
"It's a great, easy-to-use, very convenient and secure app.",5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.7759,User Experience
Good Job,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Best app.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
it's so use full and secure 👍💪👌,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.8192,General Feedback
"there should be atm voucher access included , and also the app crash sometimes .",1,2026-04-22,Commercial Bank of Ethiopia,Google Play,negative,-0.4019,App Performance
"The app has some issues we need to have a place where we save our contacts where we usually send money to, after update I keep loosing all the important accounts.Also user needs to configure their notification types we want to receive either by email ,SMS or both. right now I don't get any notifications when I receive funds from companies.",1,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.6486,Transaction Issues
after the the recent update the app not responding. even transfer to telebirr isn't working.,1,2026-04-22,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Transaction Issues
Need more additional future include for now it's not bad,1,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.431,Feature Request
I don't like. I can't make transfer to my own telebirr,1,2026-04-22,Commercial Bank of Ethiopia,Google Play,negative,-0.2755,Transaction Issues
lag and stack not quick response 😞😞,2,2026-04-22,Commercial Bank of Ethiopia,Google Play,negative,-0.449,General Feedback
it good. to get services,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Number One App,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.0772,General Feedback
this secure app of all Ethiopia mobile banking ever.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.34,General Feedback
perfect app,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
owww cbe,5,2026-04-22,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"Very secured, fast and favourable",5,2026-04-22,Commercial Bank of Ethiopia,Google Play,positive,0.4576,General Feedback
very nice 👌,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.8679,User Experience
اليش يتعخر معرف والله,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
good application 💯💯💯.,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Nice App,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
it cost us a lot just by transfer and in other way not fair,1,2026-04-21,Commercial Bank of Ethiopia,Google Play,negative,-0.2411,Transaction Issues
Great app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.6249,User Experience
Interesting app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.4019,General Feedback
"i didn't get feed back through message ,Why so?",5,2026-04-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
good and fast,5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
"v, good",5,2026-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
very bad experience as its very slow,1,2026-04-20,Commercial Bank of Ethiopia,Google Play,negative,-0.5849,App Performance
i luv it,5,2026-04-20,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Good&fast,5,2026-04-20,Commercial Bank of Ethiopia,Google Play,neutral,0.0,User Experience
የጣት አሻራ አገልግሎት አላገኘሁም። አጠቃቀሙ ጠፍቶኝ ይሆን?,4,2026-04-19,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Rtgs limit very small,3,2026-04-19,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"Trasaction history not sorted in time basis, besides the hilight transaction and its details which is found by clicking the highht transaction are diffrent. Generally, the tansaction history page has a critical problem",3,2026-04-19,Commercial Bank of Ethiopia,Google Play,negative,-0.6124,Transaction Issues
best bank for Android application form market place and key number,5,2026-04-19,Commercial Bank of Ethiopia,Google Play,positive,0.6705,General Feedback
i like cbe service,5,2026-04-19,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
አሪፍ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it is the best application in the Ethiopia I like it this,5,2026-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.7717,General Feedback
super spp,5,2026-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.5994,General Feedback
I have 1 year and thank you for yo ur genuine service,5,2026-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
ካየህዋቸው ተመሳሳይ መተግበርያዎች በጣም ጥሩ መተግበርያ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
Excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",1,2026-04-17,Commercial Bank of Ethiopia,Google Play,negative,-0.5423,App Performance
Absolute garbage,1,2026-04-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
CBE does not offer anything international.,3,2026-04-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
korsa,5,2026-04-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
its good,5,2026-04-17,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
very nice app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play,positive,0.4754,User Experience
it looks fantasy,5,2026-04-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it's best app to use recently and upgraded day to day for internationalization,5,2026-04-16,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
it is more convenient app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
gooooodddd.....,5,2026-04-15,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,1,2026-04-15,Commercial Bank of Ethiopia,Google Play,negative,-0.3875,General Feedback
Factory reset made me to lose my pin to login to my account!,5,2026-04-15,Commercial Bank of Ethiopia,Google Play,negative,-0.4574,Account Access
keeps on saying bucket override when I try to pay henon school fee,2,2026-04-15,Commercial Bank of Ethiopia,Google Play,negative,-0.1027,General Feedback
"life longe bank CBE , Save & change your life.",5,2026-04-15,Commercial Bank of Ethiopia,Google Play,positive,0.4939,General Feedback
does not working well,5,2026-04-15,Commercial Bank of Ethiopia,Google Play,negative,-0.2057,General Feedback
it's v good app sometimes there is a problem on other bank transfers,4,2026-04-15,Commercial Bank of Ethiopia,Google Play,positive,0.0516,Transaction Issues
pls speedup for quick uses,5,2026-04-14,Commercial Bank of Ethiopia,Google Play,positive,0.0772,General Feedback
"before, it was nice. now it does not work and crash automatically",2,2026-04-14,Commercial Bank of Ethiopia,Google Play,positive,0.6197,App Performance
Pls facilitate transfer to telebirr agent,3,2026-04-14,Commercial Bank of Ethiopia,Google Play,positive,0.0772,Transaction Issues
sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,3,2026-04-13,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
I customer for commercial bank of Ethiopia I trade,5,2026-04-13,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it's has an issue,1,2026-04-13,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,3,2026-04-13,Commercial Bank of Ethiopia,Google Play,negative,-0.4767,Feature Request
